,size,intensity
1205,3238,1
1206,3635,43
1207,3537,20
1208,4754,79
1209,4028,2
1210,2802,36
1211,2928,17
1212,3513,84
1213,3106,3
1214,2346,3
1215,2860,41
1216,1852,2
1217,2967,2
1218,2502,21
1219,3019,47
1220,2231,1
1221,2005,3
1222,3218,25
1223,2249,28
1224,2423,1
1225,2752,255
1226,2857,64
1227,2352,57
1228,2081,2
1229,2262,4
1230,2762,79
1231,2962,12
1232,3637,52
1233,1629,2
1234,4036,92
1235,2165,79
1236,2078,95
1237,2214,77
1238,2222,20
1239,3189,82
1240,2012,14
1241,2416,24
1242,2974,34
1243,4646,1
1244,1928,21
1245,1939,5
1246,1889,1
1247,1524,1
1248,3099,34
1249,2782,1
1250,2162,53
1251,3784,53
1252,1954,15
1253,2098,7
1254,1449,9
1255,2312,24
1256,1731,13
1257,2598,42
1258,2323,3
1259,1792,39
1260,2838,31
1261,1993,33
1262,1352,1
1263,2165,2
1264,2513,39
1265,2131,15
1266,2022,42
1267,2621,37
1268,4454,5
1269,2372,3
1270,2514,2
1271,1961,13
1272,3053,69
1273,2643,73
1274,3112,8
1275,1767,33
1276,1581,157
1277,2683,79
1278,2147,3
1279,1996,1
1280,2195,40
1281,1523,148
1282,2003,67
1283,1720,2
1284,1861,15
1285,2004,17
1286,2506,161
1287,2222,1
1288,1498,13
1289,1790,17
1290,1847,31
1291,1574,2
1292,2863,96
1293,1651,31
1294,1488,1
1295,1674,3
1296,3451,65
1297,1580,1
1298,2602,29
1299,2011,67
1300,2500,1
1301,1771,7
1302,1414,1
1303,3531,33
1304,2473,74
1305,928,1
1306,1798,30
1307,1431,1
1308,1359,27
1309,1898,11
1310,2212,3
1311,1941,1
1312,2264,1
1313,1985,12
1314,2205,54
1315,1223,26
1316,1640,74
1317,1535,2
1318,2619,50
1319,3922,128
1320,948,2
1321,1549,114
1322,1080,74
1323,264,1
1324,1548,115
1325,684,1
1326,1023,1
1327,1463,23
1328,983,54
1329,3275,50
1330,3878,98
1331,372,1
1332,1206,4
1333,918,1
1334,1884,10
1335,1042,1
1336,1660,1
1337,495,2
1338,382,1
1339,2393,41
1340,508,13
1341,2654,98
1342,1293,79
1343,336,91
1344,2261,116
1345,625,4
1346,330,17
1347,399,66
1348,1070,216
1349,2878,57
1350,287,72
1351,2717,41
1352,3108,5
1353,2226,65
1354,2552,57
1355,3140,26
1356,3081,62
1357,2786,37
1358,2814,24
1359,3368,111
1360,3209,16
1361,3629,2
1362,1506,2
1363,3645,20
1364,2059,4
1365,1589,4
1366,2326,106
1367,3390,47
1368,2547,20
1369,1910,11
1370,3153,1
1371,3016,11
1372,2009,14
1373,3177,97
1374,1948,1
1375,1920,19
1376,2975,7
1377,2246,47
1378,1840,21
1379,3871,26
1380,1755,31
1381,2569,18
1382,2193,75
1383,1980,4
1384,1734,22
1385,2342,4
1386,3352,40
1387,1850,2
1388,1777,35
1389,2587,41
1390,2851,21
1391,1723,17
1392,2897,3
1393,2021,5
1394,2264,16
1395,2008,101
1396,2513,56
1397,2338,55
1398,1431,21
1399,1409,8
1400,2130,6
1401,1721,39
1402,1628,37
1403,2674,95
1404,1935,1
1405,1788,15
1406,1198,46
1407,1804,46
1408,2150,66
1409,1834,26
1410,1768,32
1411,1763,70
1412,1520,15
1413,3669,148
1414,1829,28
1415,1499,5
1416,1557,24
1417,1823,24
1418,2145,28
1419,4393,80
1420,1703,17
1421,1752,4
1422,1427,31
1423,1542,1
1424,1904,28
1425,2697,44
1426,2224,18
1427,2594,27
1428,2174,26
1429,1055,13
1430,1677,37
1431,1255,11
1432,1914,29
1433,2911,11
1434,1753,49
1435,1816,1
1436,2251,1
1437,2314,98
1438,2303,32
1439,978,19
1440,1644,4
1441,2468,84
1442,2318,61
1443,2115,42
1444,1708,24
1445,1611,13
1446,1792,2
1447,599,3
1448,2002,4
1449,1110,6
1450,1730,31
1451,1275,2
1452,2396,255
1453,2847,124
1454,4218,39
