,size,intensity
958,1657,21
959,2735,33
960,2783,1
961,4465,31
962,2733,1
963,1748,4
964,1779,3
965,1679,1
966,1486,5
967,2947,0
968,1683,6
969,5214,23
970,1802,41
971,2077,0
972,2165,3
973,2038,2
974,1422,0
975,2196,0
976,1813,0
977,1513,4
978,1414,1
979,559,1
980,1019,82
981,698,0
982,252,0
983,194,0
984,165,0
985,1050,2
986,4298,15
987,2289,1
988,2780,96
989,4296,35
990,1881,1
991,4372,14
992,2835,1
993,2329,7
994,2551,10
995,2033,4
996,1818,13
997,1689,117
998,2385,42
999,1770,18
1000,1896,1
1001,2103,18
1002,1391,5
1003,1675,5
1004,6669,13
1005,2316,4
1006,1633,1
1007,2291,147
1008,1689,8
1009,1390,2
1010,2029,24
1011,1794,1
1012,1525,21
1013,1392,26
1014,3294,1
1015,3997,10
1016,1694,30
1017,1271,92
1018,4079,70
1019,4010,4
1020,1143,22
1021,902,1
1022,259,11
1023,275,0
1024,279,0
1025,1999,190
1026,3284,61
1027,2155,1
1028,5852,8
1029,3179,1
1030,1945,10
1031,2113,41
1032,2979,1
1033,1845,2
1034,1777,1
1035,3725,14
1036,1774,1
1037,1799,1
1038,2405,2
1039,2176,9
1040,2183,16
1041,3638,19
1042,1850,0
1043,2816,12
1044,2251,19
1045,2687,7
1046,1933,1
1047,1971,0
1048,1744,1
1049,2468,5
1050,2339,12
1051,3302,0
1052,3838,63
1053,5192,2
1054,1872,6
1055,2319,11
1056,2382,2
1057,1472,4
1058,3377,30
1059,3845,17
1060,1446,1
1061,2126,0
1062,1217,1
1063,2235,7
1064,1731,18
1065,2032,57
1066,1789,4
1067,1351,4
1068,1431,1
1069,2170,30
1070,941,1
1071,907,1
1072,860,36
1073,3827,26
1074,794,12
1075,1784,126
1076,1560,51
1077,3037,18
1078,3164,40
1079,1953,1
1080,2494,6
1081,3325,9
1082,4262,27
1083,2253,2
1084,3924,18
1085,3430,7
1086,3825,9
1087,2626,46
1088,2239,25
1089,3395,15
1090,1750,22
1091,1905,22
1092,2228,16
1093,4432,44
1094,3487,43
1095,2702,38
1096,1455,2
1097,2113,1
1098,3518,96
1099,1673,0
1100,3028,37
1101,1078,1
1102,1297,0
1103,1374,1
1104,1448,1
1105,2346,1
1106,3146,1
1107,3016,22
1108,3035,63
1109,1114,23
1110,2411,19
1111,211,1
1112,230,0
1113,2621,10
1114,3183,1
1115,2269,2
1116,2126,11
1117,3298,1
1118,2839,1
1119,2868,6
1120,3391,4
1121,1832,26
1122,2656,10
1123,2385,9
1124,1637,1
1125,2889,93
1126,1868,7
1127,2423,8
1128,1976,1
1129,2804,1
1130,1683,5
1131,2414,1
1132,2219,11
1133,2250,2
1134,3185,1
1135,1966,39
1136,2076,0
1137,3026,1
1138,2015,12
1139,4172,15
1140,1914,20
1141,3341,13
1142,2178,23
1143,3172,58
1144,2305,18
1145,1760,1
1146,1723,10
1147,2399,3
1148,1978,64
1149,1616,9
1150,1729,5
1151,1659,2
1152,2021,3
1153,1805,17
1154,1680,1
1155,1793,26
1156,2078,24
1157,2947,8
1158,2106,2
1159,2169,1
1160,1496,5
1161,2223,1
1162,2170,2
1163,2377,19
1164,1778,2
1165,1877,14
1166,2194,17
1167,1450,1
1168,2286,31
1169,3407,0
1170,1626,4
1171,2728,14
1172,1775,1
1173,2242,37
1174,2353,11
1175,1641,7
1176,1998,15
1177,1495,20
1178,1542,1
1179,1527,35
1180,1416,4
1181,2250,46
1182,1723,20
1183,1569,23
1184,1498,1
1185,3743,12
1186,1001,8
1187,1398,1
1188,1370,11
1189,1790,52
1190,1665,1
1191,854,0
1192,712,0
1193,315,0
1194,890,0
1195,261,1
1196,259,0
1197,3235,0
1198,3543,14
1199,3460,26
1200,2239,8
1201,2423,3
1202,3226,4
1203,2475,5
1204,4212,29
1205,2035,1
1206,2028,14
